月龄,0次小睡,1次小睡,2次小睡,3次小睡,4次小睡,5次小睡,,,,,,,,,,,,,
3,0%,0%,0%,28%,41%,31%,,,,,,,,,,,,,
4,0%,0%,0%,68%,32%,0%,,,,,,,,,,,,,
5,0%,0%,0%,70%,30%,0%,,,,,,,,,,,,,
6,0%,0%,26%,74%,0%,0%,,,,,,,,,,,,,
7,0%,0%,42%,58%,0%,0%,,,,,,,,,,,,,
8,0%,0%,61%,39%,0%,0%,,,,,,,,,,,,,
9,0%,0%,100%,0%,0%,0%,,,,,,,,,,,,,
10,0%,0%,100%,0%,0%,0%,,,,,,,,,,,,,
11,0%,0%,100%,0%,0%,0%,,,,,,,,,,,,,
12,0%,0%,100%,0%,0%,0%,,,,,,,,,,,,,
13,0%,29%,71%,0%,0%,0%,,,,,,,,,,,,,
14,0%,52%,48%,0%,0%,0%,,,,,,,,,,,,,
15,0%,64%,36%,0%,0%,0%,,,,,,,,,,,,,
16,0%,80%,20%,0%,0%,0%,,,,,,,,,,,,,
17,0%,89%,11%,0%,0%,0%,,,,,,,,,,,,,
18,0%,92%,8%,0%,0%,0%,,,,,,,,,,,,,
19,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
20,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
21,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
22,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
23,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
24,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
25,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
26,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
27,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
28,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
29,0%,100%,0%,0%,0%,0%,,,,,,,,,,,,,
30,5%,95%,0%,0%,0%,0%,,,,,,,,,,,,,
31,5%,95%,0%,0%,0%,0%,,,,,,,,,,,,,
32,5%,95%,0%,0%,0%,0%,,,,,,,,,,,,,
33,5%,95%,0%,0%,0%,0%,,,,,,,,,,,,,
34,10%,90%,0%,0%,0%,0%,,,,,,,,,,,,,
35,10%,90%,0%,0%,0%,0%,,,,,,,,,,,,,
